Date,Mkt-RF,SMB,HML
197507,-6.59,2.7,1.69
197508,-2.85,-3.25,-0.95
197509,-4.26,-0.1,0.39
197510,5.31,-4.03,0.28
197511,2.64,-1.2,2.03
197512,-1.6,-0.78,1.69
197601,12.16,4.81,8.63
197602,0.32,7.06,5.87
197603,2.32,-1.16,-0.12
197604,-1.49,-0.11,-0.16
197605,-1.34,-1.23,-1.36
197606,4.05,-1.32,0.71
197607,-1.07,0.29,1.73
197608,-0.56,-2,0.81
197609,2.07,-0.02,-0.29
197610,-2.42,0.22,-0.18
197611,0.36,2.32,1.51
197612,5.65,3.03,2.27
197701,-4.05,4.76,4.27
197702,-1.94,1.04,0.47
197703,-1.37,1,1.09
197704,0.15,-0.12,3.38
197705,-1.45,1.18,0.85
197706,4.71,2.09,-0.74
197707,-1.69,2.16,-0.56
197708,-1.75,1.48,-2.7
197709,-0.27,1.34,-0.52
197710,-4.38,1.25,1.75
197711,4,3.73,0.26
197712,0.27,1.32,-0.29
197801,-6.01,2.24,3.36
197802,-1.38,3.59,0.83
197803,2.85,3.49,1.18
197804,7.88,0.45,-3.54
197805,1.76,4.56,-0.52
197806,-1.69,1.66,0.57
197807,5.11,0.23,-1.15
197808,3.75,5.06,-0.51
197809,-1.43,-0.43,1.89
197810,-11.91,-9.86,1.38
197811,2.71,2.97,-2.15
197812,0.88,1.29,-2.13
197901,4.23,3.62,2.19
197902,-3.56,0.45,1.17
197903,5.68,3.26,-0.71
197904,-0.06,2.15,1.12
197905,-2.21,0.21,1.31
197906,3.85,1.17,1.44
197907,0.82,1.28,1.86
197908,5.53,2.05,-1.58
197909,-0.82,-0.27,-0.9
197910,-8.1,-3.37,-1.84
197911,5.21,2.87,-3.29
197912,1.79,4.17,-2.1
198001,5.51,1.62,1.75
198002,-1.22,-1.85,0.61
198003,-12.9,-6.64,-1.01
198004,3.97,1.05,1.06
198005,5.26,2.13,0.38
198006,3.06,1.66,-0.76
198007,6.49,4.14,-6.41
198008,1.8,3.92,-2.6
198009,2.19,0.98,-4.59
198010,1.06,2.47,-2.76
198011,9.59,-3.36,-8.33
198012,-4.52,-0.26,2.79
198101,-5.04,2.92,6.72
198102,0.57,-0.34,1.02
198103,3.56,3.54,0.64
198104,-2.11,4.4,2.28
198105,0.11,2,-0.42
198106,-2.36,-0.83,5.13
198107,-1.54,-2.19,-0.5
198108,-7.04,-1.95,4.76
198109,-7.17,-2.65,5.17
198110,4.92,2.23,-4.21
198111,3.36,-1.03,1.83
198112,-3.65,1.2,0.81
198201,-3.24,-1.28,3.19
198202,-5.86,0.44,6.05
198203,-1.87,-0.21,3.81
198204,3.27,1.47,-2.7
198205,-3.99,0.52,1.75
198206,-3.09,-0.4,1.53
198207,-3.19,0.83,0.09
198208,11.14,-4.14,0.95
198209,1.29,2.95,0.28
198210,11.3,2.34,-3.66
198211,4.67,4.67,-1.87
198212,0.55,-0.22,-0.02
198301,3.6,2.73,-0.75
198302,2.59,3.27,0.7
198303,2.82,1.73,2.02
198304,6.67,0.5,0.49
198305,0.52,6.24,-1.4
198306,3.07,0.95,-3.9
198307,-4.07,1.5,5.62
198308,-0.5,-4.28,5.54
198309,0.91,0.61,1.01
198310,-3.44,-3.57,4.97
198311,2.16,2.01,-0.72
198312,-1.78,-0.27,1.73
198401,-1.92,-0.38,7.58
198402,-4.82,-1.69,3.33
198403,0.63,0.07,0.46
198404,-0.51,-1.16,1.2
198405,-5.97,0.06,0.31
198406,1.82,-0.3,-2.66
198407,-2.74,-2.21,0.36
198408,10.28,-0.24,-1.82
198409,-0.8,0.17,5.28
198410,-0.84,-1.23,0.45
198411,-1.76,-0.65,4.06
198412,1.84,-0.56,-0.26
198501,7.99,3.31,-5.35
198502,1.22,0.79,-0.1
198503,-0.84,-1.08,4.07
198504,-0.96,0.14,3.72
198505,5.09,-2.22,-0.96
198506,1.27,0.52,0.38
198507,-0.74,2.84,-1.62
198508,-1.02,-0.3,2.32
198509,-4.54,-1.59,1.29
198510,4.02,-1.51,0.75
198511,6.48,0.25,-2.85
198512,3.88,-0.51,-1.54
198601,0.65,1.21,0.44
198602,7.13,-0.54,-0.72
198603,4.88,-0.59,-0.39
198604,-1.31,2.78,-2.87
198605,4.62,-1.35,-0.21
198606,1.03,-0.96,1.28
198607,-6.45,-3.36,4.7
198608,6.07,-4.17,3.51
198609,-8.6,2.36,3.22
198610,4.66,-2.5,-1.42
198611,1.17,-1.91,-0.07
198612,-3.27,0.13,0.36
198701,12.47,-1.81,-3.16
198702,4.39,3.49,-5.91
198703,1.64,0.45,1.61
198704,-2.11,-1.69,-0.39
198705,0.11,-0.5,0.23
198706,3.94,-2.12,1.04
198707,3.85,-0.69,0.68
198708,3.52,-0.77,-0.93
